Producto,Presentación,Costo API ($),Precio Detal ($),Precio Mayor ($),Distribuidor ($)
Ultra Seco Solución Interior,1 Litro,8.00,13.99,11.89,9.79
Ultra Seco Solución Exterior,1 Litro,10.00,16.99,14.44,11.89
Pintura Súper Hidrofóbica,Galón,22.00,34.00,28.90,23.80
Estuco Súper Hidrofóbico,Galón,12.00,19.00,16.15,13.30
Aditivo Asfáltico,Tambor (200L),2800.00,3500.00,2975.00,2450.00
Magnetron Eco Capturador,Galón,210.00,345.00,293.25,241.50
Eco Capturador (Minería),1 Litro,50.00,85.00,72.25,59.50
Escudo Cerámico,1 Litro,25.00,45.00,38.25,31.50
Champú Nano-Concentrado,1 Litro,7.00,12.00,10.20,8.40
Cera Nano Protectora,500ml,8.50,15.00,12.75,10.50
